term,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,synonym_1,synonym_2,synonym_3
counter,0,0,0,0,0,0,0,0,0,0,opposite,opposed,hostile
mystery,0,0,1,0,1,0,0,0,0,0,vaudeville,tragedy,charade
distortion,0,0,0,0,0,0,0,0,0,0,spectrum,refraction,illusion
sweet,0,0,1,1,1,1,0,0,0,1,melody,clear,soft
millennium,0,0,0,0,0,0,0,0,0,0,doomsday,hereafter,morrow
loss,0,0,0,0,0,0,1,1,0,0,remainder,decrement,deduction
bent,0,0,0,0,0,0,0,0,0,0,tendency,propensity,inclination
grant,0,0,0,1,0,1,0,0,0,0,permission,charter,pass
shake,0,0,0,0,0,0,0,0,0,0,agitation,tumble,toss
parallel,0,0,0,0,0,0,0,0,0,0,similarity,twin,like
depreciation,1,0,0,0,0,0,1,0,0,0,denunciation,censure,condemnation
alarm,1,0,0,0,1,0,0,0,0,0,warning,caution,caveat
courtesy,0,0,0,0,0,1,0,0,0,0,respect,approbation,attention
report,0,0,0,0,0,0,0,0,0,0,judgment,notice,review
station,0,0,0,0,0,0,0,0,0,0,situation,site,venue
provision,0,0,0,0,0,0,0,0,0,0,qualification,prerequisite,specification
bank,0,0,0,1,0,0,0,0,0,0,store,fund,accumulate
call,0,0,0,0,0,0,0,0,0,0,motive,ground,reason
express,0,0,0,0,0,0,0,0,0,0,phrase,designate,voice
refuse,0,0,0,0,0,0,1,0,0,0,detritus,waste,debris
miss,0,0,0,0,0,0,0,0,0,0,infant,wench,damsel
accessory,0,0,0,0,0,0,0,0,0,0,accompaniment,attendant,fellow
tax,0,0,0,0,0,0,0,0,0,0,command,impose,task
staple,0,0,0,0,0,0,0,0,0,0,connection,pin,skewer
full,0,0,0,0,0,1,0,0,0,0,sufficiency,amply,sufficiently
satisfaction,0,0,0,0,0,0,0,0,0,0,observance,fulfillment,discharge
fascination,0,0,0,0,0,1,0,0,0,0,excitation,intoxication,subjugation
failure,0,0,0,0,0,0,1,0,0,0,evasion,violation,infraction
desert,1,1,0,0,0,0,1,1,1,0,resignation,abrogate,vacate
plane,0,0,0,0,0,0,0,0,0,0,smoothness,polish,file
frown,0,0,0,0,0,0,1,1,0,0,lower,pout,despair
bustle,0,0,0,0,0,0,0,0,0,0,activity,fuss,ado
reverse,0,0,0,0,0,0,0,0,0,0,inverse,fronting,facing
title,0,0,0,1,0,1,0,0,0,0,honor,sir,lordship
place,0,0,0,0,0,0,0,0,0,0,repute,precedence,standing
bully,1,1,0,0,0,0,1,0,0,0,rough,hood,barbarian
shaft,0,0,0,0,0,0,0,0,0,0,depth,well,hollow
urge,0,0,0,0,0,0,0,0,0,0,motive,prick,lash
wreath,0,0,0,0,0,0,0,0,0,0,trophy,crown,bays
quality,0,0,0,0,0,0,0,0,0,0,tendency,temperament,nature
breed,0,0,0,0,0,0,0,0,0,0,posterity,progeny,spat
blast,1,1,0,0,1,0,1,0,0,0,violence,bounce,detonation
partner,0,0,0,0,0,1,0,0,0,0,friend,neighbor,comrade
pierce,0,0,0,0,0,0,0,0,0,0,refrigeration,chill,bite
stall,0,0,0,0,0,0,0,0,1,0,pontificate,see,living
demand,0,1,0,0,0,0,1,0,0,0,requirement,requisition,want
adventure,0,0,1,0,0,1,0,0,0,0,undertaking,venture,compact
voice,0,0,0,0,0,0,0,0,0,0,cry,bark,clamor
scramble,0,0,0,0,0,0,0,0,0,0,haste,fuss,flurry
dust,0,0,0,0,0,0,0,0,0,0,money,salt,rhino
shock,0,0,0,0,1,0,0,0,0,0,excitation,shake,startle
exaggerate,0,1,0,0,0,0,1,0,0,0,magnify,overestimate,strain
crown,0,0,0,0,0,0,0,0,0,0,clothing,hood,tile
catch,0,0,0,0,0,0,0,0,0,0,taking,pocket,bag
herald,0,0,0,0,0,0,0,0,0,0,publication,proclaim,circulate
caricature,0,0,0,0,0,0,1,0,0,0,imitation,burlesque,counterfeit
dark,0,0,0,0,0,0,0,1,0,0,nebulous,dim,muddy
cast,0,0,0,0,0,0,0,0,0,0,form,stamp,carve
incense,0,1,0,0,0,0,1,0,0,0,hate,irritate,repel
punctuality,0,0,0,0,0,1,0,0,0,0,truth,rigor,delicacy
acceptance,0,0,0,0,0,0,0,0,0,0,consent,acknowledgment,compliance
breach,0,0,0,0,0,0,1,0,0,0,disjunction,rent,fissure
hate,1,1,0,0,0,0,1,0,1,0,despite,malice,resentment
stupid,0,0,0,0,0,0,1,0,0,0,insipid,monotonous,flat
trash,0,0,0,0,0,0,1,0,1,0,rubbish,stuff,chaff
unite,0,0,0,0,0,0,0,0,0,0,junction,join,associate
law,0,0,0,0,0,0,0,0,0,0,right,virtue,morals
shiver,1,0,0,0,0,0,1,1,0,0,cold,shake,quiver
tough,1,1,0,0,0,0,1,0,0,0,rough,bully,terrorist
rake,0,0,0,0,0,0,0,0,0,0,broom,filter,mop
service,0,0,0,0,0,0,0,0,0,0,utility,use,stead
stop,0,0,0,0,0,0,0,0,0,0,stand,remain,rest
acknowledgment,0,0,0,0,0,1,0,0,0,0,gratitude,thanksgiving,recognition
obscure,0,0,0,0,0,0,0,0,0,0,darkness,black,dark
severity,0,0,0,0,0,0,1,0,0,0,arrogance,harshness,rigor
monotony,0,0,0,0,0,0,0,0,0,0,identity,equality,very
proof,0,0,0,0,0,0,0,0,0,0,printing,copy,pull
direction,0,0,0,0,0,0,0,0,0,0,guidance,compass,needle
streak,0,0,0,0,0,0,0,0,0,0,vein,strip,line
character,0,0,0,0,0,0,0,0,0,0,affections,disposition,tone
modification,0,0,0,0,0,0,0,0,0,0,copy,revision,extension
force,0,0,0,0,0,0,0,0,0,0,motive,enforce,prick
collapse,1,0,0,0,0,0,1,1,1,0,descent,subsidence,lapse
reason,0,0,0,0,0,1,0,0,0,0,rationality,reasonableness,wisdom
part,0,0,0,0,0,0,0,0,0,0,character,role,repertoire
grant,0,0,1,1,0,1,0,0,0,1,giving,accord,bestow
reach,0,0,0,0,0,0,0,0,0,0,authority,grip,hold
single,0,0,0,0,0,0,0,0,0,0,unity,one,solitary
dust,0,0,0,0,0,0,1,0,0,0,corpse,remains,earth
speculate,0,0,0,0,0,0,0,0,0,0,vision,contemplate,witness
gallant,0,0,0,0,0,1,0,0,0,0,courage,intrepid,valiant
lead,0,0,0,0,0,0,0,0,0,0,direction,bead,conduct
falter,0,0,0,0,0,0,0,0,0,0,hammer,stutter,hesitate
paper,0,0,0,0,0,0,0,0,0,0,whiteness,lily,chalk
shuffle,0,0,0,0,0,0,0,0,0,0,change,deviate,swerve
travesty,1,0,0,0,0,0,1,1,1,0,misinterpretation,parody,perversion
propriety,0,0,0,0,0,0,0,0,0,0,fashion,decorum,demeanor
tumble,0,0,0,0,0,0,0,0,0,0,descent,stumble,topple
period,0,0,0,0,0,0,0,0,0,0,age,era,hour
chart,0,0,0,1,0,0,0,0,0,0,information,map,plan
bear,1,1,0,0,0,0,0,0,0,0,brute,beast,grizzly
wild,0,0,0,0,0,0,0,0,0,0,desert,waste,wilderness
double,0,0,0,0,0,0,0,0,0,0,duplication,duplicate,repeat
nail,0,0,0,0,0,0,0,0,0,0,sharpness,pin,needle
form,0,0,0,0,0,0,0,0,0,0,figure,shape,cast
sentence,1,1,1,0,0,0,1,1,1,0,judgment,doom,adjudicate
tide,0,0,0,0,0,0,0,0,0,0,river,race,current
pit,0,0,0,0,0,0,0,0,0,0,indentation,dint,cavity
charter,0,0,0,0,0,0,0,0,0,0,legality,enactment,law
standard,0,0,0,0,0,0,0,0,0,0,normality,familiarity,normalcy
sore,0,1,0,0,0,0,1,1,0,0,soreness,pain,neuralgia
junction,0,0,0,0,0,0,0,0,0,0,connection,link,hyphen
agency,0,0,0,0,0,0,0,0,0,0,action,praxis,excitation
mate,0,0,0,0,0,1,0,0,0,1,auxiliary,colleague,partner
repetition,0,0,0,0,0,0,0,0,0,0,frequency,routine,normality
portfolio,0,0,0,0,0,0,0,0,0,0,direction,chair,director
cramp,0,0,0,0,0,0,1,0,0,0,spasm,colic,nightmare
animation,0,0,0,0,0,0,0,0,0,0,breath,physique,strength
retort,0,0,0,0,0,0,1,0,0,0,retaliation,reprisal,payback
pinion,0,0,0,0,0,0,0,0,0,0,junction,moor,harness
descent,1,0,0,0,0,0,0,1,0,0,decrement,ebb,wane
slip,0,0,0,0,1,0,1,0,0,0,guilt,trip,lapse
staff,0,0,0,0,0,0,0,0,0,0,flag,wand,mace
capital,0,0,0,0,0,0,0,0,0,0,abode,metropolis,city
model,0,0,0,0,0,0,0,0,0,0,copy,representation,study
ease,0,0,0,0,0,1,0,0,0,0,facility,smooth,facilitate
gravity,0,0,0,0,0,0,0,0,0,0,importance,seriousness,solemnity
scent,0,0,0,0,0,0,0,0,0,0,odor,smell,exhale
charter,0,0,0,0,0,0,0,0,0,0,permission,authorize,warrant
damp,0,0,0,0,0,0,0,0,0,0,moisture,sponge,wet
shield,0,0,0,0,0,0,0,0,0,0,defense,screen,shroud
lap,0,0,0,0,0,0,0,0,0,0,encompass,circumvent,encircle
save,0,0,0,1,0,1,0,0,0,1,deliverance,rescue,redeem
current,0,0,0,0,0,0,0,0,0,0,river,tide,race
mockery,0,0,0,0,0,0,0,0,0,0,imitation,mimicry,semblance
repetition,0,0,0,0,0,0,0,0,0,0,imitation,duplication,reproduction
fuss,0,1,0,0,0,0,1,1,0,0,agitation,rout,racket
generation,0,0,0,0,0,0,0,0,0,0,reproduction,multiplication,restoration
note,0,0,0,0,0,0,0,0,0,0,record,minute,chronicle
lash,1,1,0,0,0,0,1,0,0,0,punishment,scaffold,slap
ferment,0,0,0,0,0,0,1,0,0,0,bubble,froth,boil
encounter,0,0,0,0,0,0,0,0,0,0,arrival,meeting,return
exemption,0,0,0,0,0,0,0,0,0,0,absence,vacancy,void
virtue,0,0,0,0,0,1,0,0,0,0,morality,integrity,desert
pretense,0,0,0,0,0,0,1,0,0,0,pretext,evasion,sham
butt,0,0,0,0,0,0,0,0,0,0,intention,destination,mark
reason,0,0,0,0,0,0,0,0,0,0,reasoning,discuss,debate
judge,0,0,0,0,0,0,0,0,0,0,taste,criticise,appreciate
enjoin,0,0,0,0,0,0,0,0,0,0,will,settle,determine
expose,0,0,0,0,0,0,0,0,0,0,description,account,brief
delicacy,0,0,0,0,0,0,0,0,0,0,dainty,tidbit,venison
grave,1,0,0,0,0,0,1,1,0,0,vice,heinous,infamous
pun,0,0,0,0,0,0,0,0,0,0,wit,kid,joke
alarm,1,0,0,0,1,0,1,0,0,0,indication,warning,pennant
kick,0,1,0,0,0,0,1,0,0,0,impulse,strike,flap
scan,0,0,0,0,0,0,0,0,0,0,vision,inspect,survey
leader,0,0,0,1,0,1,0,0,0,0,dissertation,commentary,editorial
epoch,0,0,0,0,0,0,0,0,0,0,time,hour,minute
hurt,0,1,0,0,0,0,1,1,0,0,harm,injure,outrage
divergence,0,0,0,0,0,0,0,0,0,0,forking,deviation,aberration
love,0,0,0,0,0,1,0,0,0,1,pleasure,like,enjoy
confuse,0,0,0,0,0,0,1,0,0,0,tumble,jumble,trouble
steel,0,0,0,0,0,0,0,0,0,0,hardness,iron,adamant
common,0,0,0,0,0,0,0,0,0,0,mere,uneventful,fair
animation,0,0,0,0,0,0,0,0,0,0,cheerfulness,life,rejoicing
abstract,0,0,0,0,0,0,0,0,0,0,disjunction,discrete,isolated
swell,0,0,0,0,0,0,0,0,0,0,loudness,uproar,roar
product,0,0,0,0,0,0,0,0,0,0,number,reciprocal,denominator
act,0,0,0,0,0,0,0,0,0,0,imitation,mock,ape
man,0,0,0,0,0,0,0,0,0,0,courage,lion,bully
bend,0,0,0,0,0,0,0,0,0,0,lurch,tilt,distortion
intrusion,1,0,0,0,0,0,1,0,0,0,ingress,incursion,invasion
lullaby,0,0,0,0,0,0,0,0,0,0,poetry,ballad,anthology
fell,0,0,0,0,0,0,1,1,0,0,depression,level,upset
dainty,0,0,0,0,0,0,0,0,0,0,tidbit,delicacy,venison
society,0,0,0,0,0,0,0,0,0,0,company,companionship,housewarming
game,0,0,0,0,0,0,0,0,0,0,chance,gamble,wager
suggestion,0,0,0,0,0,0,0,0,0,0,memory,commemoration,hint
doom,1,0,0,0,0,0,1,0,0,0,necessity,devote,compel
cloud,0,0,0,0,0,0,0,0,0,0,bubble,fog,haze
interruption,0,0,0,0,0,0,0,0,0,0,interval,opening,fissure
concert,0,0,0,0,0,0,0,0,0,0,cooperation,concurrence,participation
sketch,0,0,0,0,0,0,0,0,0,0,description,recital,relation
shadow,0,0,0,0,0,0,0,0,0,0,imagination,vision,myth
trash,0,0,0,0,0,0,1,0,1,0,detritus,waste,debris
grand,0,0,0,0,0,0,0,0,0,0,millennium,thousand,ban
riot,1,1,0,0,0,0,1,0,0,0,violence,uproar,row
performance,0,0,0,0,0,0,0,0,0,0,completion,execution,keystone
enamel,0,0,0,0,0,0,0,0,0,0,sculpture,porcelain,pottery
partisan,0,0,0,0,0,0,1,0,0,0,arms,tomahawk,foil
prick,1,1,0,0,1,0,1,0,1,0,motive,urge,lash
preservation,0,0,0,0,0,0,0,0,0,0,support,salvation,conservation
probe,0,0,0,0,0,0,0,0,0,0,experiment,test,diagnostic
ghost,1,0,0,0,0,0,0,0,0,0,specter,apparition,spectrum
separation,0,0,0,0,0,0,0,0,0,0,interval,opening,fissure
float,0,0,0,0,0,0,0,0,0,0,ascent,plane,swim
bounce,0,0,0,0,0,0,0,0,0,0,elasticity,extend,stretch
bar,0,0,0,0,0,0,0,0,0,0,length,distance,radius
lot,0,0,0,0,0,0,0,0,0,0,chance,fate,luck
footing,0,0,0,1,0,0,0,0,0,0,situation,standing,post
negative,0,0,0,0,0,0,1,0,0,0,expose,rebut,defeat
fool,0,0,0,0,0,0,1,0,0,0,jerk,asshole,idiot
quiver,0,0,0,0,0,0,0,0,0,0,feeling,tremor,flurry
divine,0,0,0,1,0,1,0,0,0,1,holy,sacred,almighty
normal,0,0,0,0,0,0,0,0,0,0,fundamental,inborn,intrinsic
chase,0,0,0,0,0,0,1,0,0,0,pursuit,course,hunt
bluff,0,0,0,0,0,0,1,0,0,0,deception,gum,spoof
end,0,0,0,0,0,0,0,0,0,0,effect,consequence,bud
draught,0,0,0,0,0,0,0,0,0,0,multitude,bushel,peck
growth,0,0,0,0,0,1,0,0,0,0,expansion,increment,spread
clan,0,0,0,1,0,0,0,0,0,0,nation,breed,tribe
paint,0,0,0,0,0,0,0,0,0,0,color,wash,pigment
heart,0,0,0,0,0,0,0,0,0,0,centrality,pith,navel
spare,0,0,0,0,0,0,0,0,0,0,temperance,abstain,refrain
note,0,0,0,0,0,0,0,0,0,0,memory,memorandum,memo
sketch,0,0,0,0,0,0,0,0,0,0,form,carve,figure
curtain,0,0,0,0,0,0,0,0,0,0,ambush,blind,cloud
flood,0,0,0,0,0,0,0,0,0,0,greatness,bushel,heap
formula,0,0,0,1,0,1,0,0,0,0,number,figure,digit
set,0,0,0,0,0,0,0,0,0,0,assemblage,lot,batch
kink,0,0,0,0,0,0,0,0,0,0,curvature,horseshoe,arch
fanaticism,1,0,0,0,0,0,0,0,0,0,feeling,ardor,eagerness
dike,0,0,0,0,0,0,0,0,0,0,defense,dyke,embankment
start,0,0,1,0,0,0,0,0,0,0,beginning,commence,begin
irregular,0,0,0,0,0,0,0,0,0,0,arbitrary,funny,exceptional
faithful,0,0,0,0,0,1,0,0,0,0,copy,conscientious,derivative
accept,0,0,0,0,0,0,0,0,0,0,assent,concur,reciprocate
spark,0,0,0,0,0,0,0,0,0,0,light,scintilla,flame
shoot,0,1,0,0,0,0,0,0,0,0,punishment,gas,hang
spout,0,0,0,0,0,0,0,0,0,0,egress,sluice,tap
lower,0,0,0,0,0,0,0,0,0,0,depression,depress,cast
bark,0,0,0,0,0,0,1,0,0,0,snarl,growl,cuckoo
decline,0,0,0,0,0,0,1,0,0,0,adversity,decay,sink
moderation,0,0,0,0,0,0,0,0,0,0,forbearance,endurance,fortitude
place,0,0,0,0,0,0,0,0,0,0,point,lieu,dot
cement,0,0,1,1,0,0,0,0,0,0,coherence,gum,paste
walk,0,0,0,0,0,0,0,0,0,0,conduct,course,career
superiority,0,0,0,0,0,0,0,0,0,0,goodness,pick,elite
fall,0,0,0,0,0,0,1,1,0,0,vice,offend,trip
infatuation,0,0,0,0,0,0,0,0,0,0,partiality,fad,hobby
stuff,0,0,0,0,0,0,0,0,0,0,gluttony,cram,raven
dam,0,0,0,0,0,0,0,0,0,0,gulf,dyke,ditch
curb,0,0,0,0,0,0,0,0,0,0,restraint,limbo,monopoly
set,0,0,0,0,0,0,0,0,0,0,form,mold,model
tact,0,0,0,0,0,0,0,0,0,0,sobriety,ballast,aplomb
explosion,0,0,0,0,0,0,0,0,0,0,revolution,leap,jump
settle,0,0,0,0,0,0,0,0,0,0,will,determine,volunteer
fury,1,1,0,0,0,0,1,1,0,0,resentment,storm,desperation
ghost,1,0,0,0,0,0,0,0,0,0,book,author,poet
tenacity,0,0,0,0,0,1,0,0,0,0,memory,retention,remembrance
strip,0,0,0,0,0,0,0,0,0,0,divestment,bare,molt
probe,0,0,0,0,0,0,0,0,0,0,fathom,sound,sift
prove,0,0,0,0,0,1,0,0,0,0,experiment,test,verify
breach,0,0,0,0,0,0,0,0,0,0,discord,rupture,division
grotesque,0,0,0,0,0,0,1,0,1,0,rude,barbarous,crude
sink,0,0,0,0,0,0,0,0,0,0,depression,pitch,precipitate
drag,0,0,0,0,0,0,0,0,0,0,traction,tow,draw
evasion,0,0,0,0,0,0,1,0,0,0,falsehood,fraud,shuffling
dispensation,0,0,0,0,0,0,0,0,0,0,apportionment,distribution,appointment
perturbation,1,0,0,0,0,0,1,0,0,0,feeling,trepidation,stew
wrong,0,0,0,0,0,0,1,0,0,0,wrongful,unequal,tortious
warp,0,1,0,0,0,0,1,1,0,0,distortion,deform,twist
study,0,0,0,0,0,0,0,0,0,0,intention,animus,proposal
representation,0,0,0,0,0,0,0,0,0,0,copy,model,study
people,0,0,0,0,0,0,0,0,0,0,inhabitant,colony,population
bother,0,0,0,0,0,0,1,0,0,0,difficulty,gravel,pose
vigor,0,0,0,0,0,1,0,0,0,0,resolution,energy,backbone
favor,0,0,0,0,0,0,0,0,0,0,indication,garland,livery
essence,0,0,0,0,0,0,0,0,0,0,fragrance,bouquet,scent
fashion,0,0,0,0,0,0,0,0,0,0,form,carve,figure
shot,0,0,0,0,0,0,0,0,0,0,propulsion,shy,toss
precedent,0,0,0,0,0,0,0,0,0,0,lawsuit,decision,case
string,0,0,0,0,0,0,0,0,0,0,filament,twine,hemp
thaw,0,0,0,0,0,0,0,0,0,0,melt,fuse,stew
key,0,0,0,0,0,0,0,0,0,0,color,tone,livery
put,0,0,0,0,0,0,0,0,0,0,location,station,lodge
heading,0,0,0,0,0,0,0,0,0,0,beginning,head,caption
wind,0,0,0,0,0,0,0,0,0,0,circulate,meander,whisk
beard,0,0,0,0,0,0,0,0,0,0,roughness,whisker,lock
assurance,0,0,0,1,0,1,0,0,0,0,belief,credit,credence
block,0,0,0,0,0,0,0,0,0,0,scourge,guillotine,scaffold
variation,0,0,0,0,0,0,0,0,0,0,divergence,difference,novelty
pickle,0,0,0,0,0,0,0,0,0,0,condiment,onion,garlic
conceit,0,0,0,0,0,0,0,0,0,0,imagination,vision,shadow
capability,0,0,0,0,0,0,0,0,0,0,power,capacity,virtue
digest,0,0,0,0,0,0,0,0,0,0,eat,brook,pocket
ready,0,0,1,0,0,0,0,0,0,0,activity,alert,smart
return,0,0,0,0,0,0,0,0,0,0,receipt,pay,afford
scrape,0,0,0,0,0,0,0,0,0,0,file,excise,eliminate
pull,0,0,0,0,0,1,0,0,0,0,superiority,prevalence,advantage
backbone,0,0,0,0,0,0,0,0,0,0,pith,core,heart
stop,0,0,0,0,0,0,0,0,0,0,closure,seal,bar
triumph,0,0,0,0,0,1,0,0,0,1,trophy,decoration,crown
concurrence,0,0,0,0,0,0,0,0,0,0,cooperation,concert,participation
traverse,0,0,0,0,0,0,0,0,0,0,passage,pass,cross
wild,0,0,0,0,1,0,1,0,0,0,excitation,distracted,raging
anticipation,0,0,0,0,0,0,0,0,0,0,precipitation,morning,punctuality
opening,0,0,0,0,0,0,0,0,0,0,beginning,inception,commencement
lie,0,1,0,0,0,0,1,1,1,0,deception,fraud,counterfeit
present,0,0,1,1,1,1,0,0,0,1,giving,gift,donation
mystery,0,0,1,0,0,0,0,0,0,0,latency,undercurrent,silence
creation,0,0,0,0,0,0,0,0,0,0,preservation,providence,intercession
inflation,1,0,0,0,0,0,1,0,0,0,money,deflation,funds
rig,0,0,0,0,0,0,0,0,0,0,clothing,attire,robe
rough,1,1,0,0,0,0,1,0,0,0,violence,rude,bluff
hook,0,0,0,0,0,0,0,0,0,0,retention,claws,nail
bound,0,0,0,0,0,0,1,0,0,0,confine,limit,picket
forbearance,0,0,0,0,0,0,0,0,0,0,mercy,quarter,clemency
journal,0,0,0,0,0,0,0,0,0,0,publication,newspaper,gazette
hoot,0,1,0,0,0,0,1,0,1,0,disrespect,mock,hiss
column,0,0,0,0,0,0,0,0,0,0,drum,cylindrical,roll
master,0,0,0,0,0,1,0,0,0,0,success,distance,surpass
invention,0,0,0,0,0,0,0,0,0,0,plan,artifice,expedient
fume,0,0,0,0,0,0,0,0,0,0,excitation,flame,foam
rule,1,0,0,0,0,0,0,0,0,0,authority,govern,reign
resolution,0,0,0,0,0,0,0,0,0,0,intention,wish,ultimatum
precipitate,0,0,0,0,0,0,0,0,0,0,liquefaction,rain,condense
plunge,1,0,0,0,0,0,1,0,0,0,descent,plummet,crash
vice,0,0,0,0,0,0,1,0,0,0,prison,vise,shackle
rent,0,0,0,0,0,0,0,0,0,0,borrowing,hire,borrow
tack,0,0,0,0,0,0,0,0,0,0,connection,pin,staple
suffer,0,0,0,0,0,0,1,0,0,0,stand,tolerate,eat
rock,0,0,0,0,0,0,0,0,0,0,oscillation,swing,courtesy
acknowledgment,0,0,0,0,0,1,0,0,0,0,consent,acceptance,compliance
dissolution,0,0,0,0,0,0,0,0,0,0,decomposition,resolution,catalysis
timidity,1,0,0,0,0,0,1,0,0,0,fear,care,hesitation
mind,0,0,0,0,0,0,0,0,0,0,belief,opinion,view
precipitation,0,0,0,0,0,0,0,0,0,0,anticipation,morning,punctuality
head,0,0,0,0,0,0,0,0,0,0,john,toilet,privy
image,0,0,0,0,0,0,0,0,0,0,similarity,parallel,type
limitation,0,0,0,0,0,0,0,0,0,0,restraint,monopoly,protection
shake,0,0,0,0,0,0,0,0,0,0,agitation,stumble,shiver
stay,0,0,0,0,0,0,0,0,0,0,permanence,remain,rest
revolution,1,1,1,0,1,1,0,1,0,0,change,inversion,displacement
partisan,0,0,0,0,0,0,0,0,0,0,auxiliary,backer,champion
law,0,0,0,1,0,0,0,0,0,0,legality,enactment,charter
restoration,0,0,0,0,0,0,0,0,0,0,reversion,alternation,regression
pipe,0,0,0,0,0,0,0,0,0,0,opening,funnel,chimney
genius,0,0,0,0,0,1,0,0,0,0,intellect,intelligence,instinct
circular,0,0,0,0,0,0,0,0,0,0,rounded,round,annular
close,0,0,0,0,0,0,0,0,0,0,completion,keystone,consummation
mess,0,0,0,0,0,0,1,0,0,0,failure,breakdown,fiasco
product,0,0,0,0,0,0,0,0,0,0,merchandise,produce,effects
shift,0,0,0,0,0,0,0,0,0,0,change,deviate,swerve
girdle,0,0,0,0,0,0,0,0,0,0,clothing,corset,stays
gymnastics,0,0,0,0,0,0,0,0,0,0,exertion,ado,exercise
commit,0,0,0,0,0,0,0,0,0,0,action,perpetrate,inflict
fix,0,0,0,0,0,0,0,0,0,0,stability,establish,settle
sum,0,0,0,0,0,0,0,0,0,0,money,amount,balance
van,0,0,0,0,0,0,0,0,0,0,vehicle,bus,minibus
break,0,0,0,0,1,0,0,0,0,0,disclosure,divulge,reveal
adventurer,0,0,0,0,0,0,0,0,0,0,bully,gambler,bravo
parallel,0,0,0,0,0,0,0,0,0,0,comparison,identify,balance
difference,0,0,0,0,0,0,0,0,0,0,discord,misunderstanding,dissension
floor,0,0,0,0,0,0,0,0,0,0,support,stage,rest
serve,0,0,0,1,0,0,1,0,0,0,servant,squire,tend
